Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;mean;std;threshold;max;min;Condition_2;Condition_1
101-17-6199;A;Yangon;Normal;Male;Food and beverages;45.79;7;16.0265;336.5565;3/13/2019;19:44:00.0;Credit card;320.53;4.761904762;16.0265;7.0;206.3607;145.04503717604408;435.13511152813226;641.4958115281322;0;True;True
101-81-4070;C;Naypyitaw;Member;Female;Health and beauty;62.82;2;6.282;131.922;1/17/2019;12:36:00.0;Ewallet;125.64;4.761904762;6.282;4.9;285.705;270.97894243381717;812.9368273014516;1098.6418273014515;0;True;True
102-06-2002;C;Naypyitaw;Member;Male;Sports and travel;25.25;5;6.3125;132.5625;3/20/2019;17:52:00.0;Cash;126.25;4.761904762;6.3125;6.1;363.8803;265.86313660669464;797.5894098200839;1161.4697098200838;0;True;True
102-77-2261;C;Naypyitaw;Member;Male;Health and beauty;65.31;7;22.858500000000003;480.0285;3/5/2019;18:02:00.0;Credit card;457.17;4.761904762;22.8585;4.2;366.5222647058823;250.589063318259;751.767189954777;1118.2894546606594;0;True;True
105-10-6182;A;Yangon;Member;Male;Fashion accessories;21.48;2;2.148;45.108;2/27/2019;12:22:00.0;Ewallet;42.96;4.761904762;2.148;6.6;418.53225000000003;274.8138482604564;824.4415447813692;1242.9737947813692;0;True;True
105-31-1824;A;Yangon;Member;Male;Sports and travel;69.52;7;24.332;510.972;2/1/2019;15:10:00.0;Credit card;486.64;4.761904762;24.332;8.5;407.42275;249.5207553568941;748.5622660706823;1155.9850160706824;0;True;True
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44.34;2;4.434;93.114;3/27/2019;11:26:00.0;Cash;88.68;4.761904762;4.434;5.8;290.28195;278.0149164361959;834.0447493085877;1124.3266993085876;0;True;True
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97.61;6;29.283;614.943;1/7/2019;15:01:00.0;Ewallet;585.66;4.761904762;29.283;9.9;314.91599999999994;191.95720324642025;575.8716097392607;890.7876097392607;0;True;True
109-86-4363;B;Mandalay;Member;Female;Sports and travel;60.08;7;21.028000000000002;441.588;2/14/2019;11:36:00.0;Credit card;420.56;4.761904762;21.028;4.5;306.7614375;243.38191299792854;730.1457389937856;1036.9071764937855;0;True;True
110-05-6330;C;Naypyitaw;Normal;Female;Food and beverages;39.43;6;11.829;248.409;3/25/2019;20:18:00.0;Credit card;236.58;4.761904762;11.829;9.4;252.55183333333332;169.84542196877138;509.53626590631416;762.0880992396475;0;True;True
